date,hour,room,co2,humidity,light,pir,temperature
2013-08-24,0,413,527.41,44.4,133.43,0.0,24.59
2013-08-24,0,415,539.77,51.52,75.1,0.0,23.59
2013-08-24,0,417,408.33,51.29,58.86,0.0,23.73
2013-08-24,0,419,557.42,52.26,145.33,16.83,73.18
2013-08-24,0,421,400.58,52.86,187.18,0.0,23.13
2013-08-24,0,422,470.64,53.63,201.25,0.0,23.07
2013-08-24,0,423,407.0,50.79,3.58,,23.55
2013-08-24,0,424,457.89,50.25,2.93,0.0,23.99
2013-08-24,0,442,512.8,48.93,5.1,0.0,24.21
2013-08-24,0,446,546.57,51.89,3.49,0.0,23.17
2013-08-24,0,448,432.61,51.41,4.25,0.0,23.6
2013-08-24,0,452,412.84,46.14,2.96,0.0,23.49
2013-08-24,0,454,386.93,51.47,3.33,0.0,23.55
2013-08-24,0,456,482.22,48.74,3.4,0.0,24.29
2013-08-24,0,458,541.92,53.19,4.15,0.79,22.95
2013-08-24,0,462,482.22,57.39,3.46,0.0,21.79
2013-08-24,1,413,492.39,42.97,203.81,0.0,25.15
2013-08-24,1,415,499.35,51.0,93.04,0.0,23.71
2013-08-24,1,417,370.53,50.69,59.3,0.0,23.86
2013-08-24,1,419,481.54,51.6,189.41,0.0,86.1
2013-08-24,1,421,362.39,52.11,194.77,0.0,23.33
2013-08-24,1,422,429.1,52.81,208.15,0.0,23.36
2013-08-24,1,423,385.61,50.5,3.47,,23.66
2013-08-24,1,424,431.83,49.99,2.89,0.0,24.08
2013-08-24,1,442,475.95,48.7,5.68,0.0,24.24
2013-08-24,1,446,509.52,51.67,3.45,0.0,23.19
2013-08-24,1,448,406.15,51.27,4.29,0.0,23.62
2013-08-24,1,452,388.43,46.06,3.05,0.0,23.5
2013-08-24,1,454,364.33,51.39,3.35,0.0,23.56
2013-08-24,1,456,454.33,48.62,3.48,0.0,24.3
2013-08-24,1,458,505.84,52.84,5.12,14.43,22.98
2013-08-24,1,462,439.46,57.79,3.97,0.0,21.56
